date,title,body,video_id,video_url,playlist,minutes_match
2019-02-05,Salt Lake City Council Formal Meeting - 2/5/2019,Council,tOvaT_Q1qmQ,https://www.youtube.com/watch?v=tOvaT_Q1qmQ,streams,false
2019-02-05,Salt Lake City Council Work Session - 2/5/2019,Council,LPZe0Ajadec,https://www.youtube.com/watch?v=LPZe0Ajadec,streams,false
2019-02-05,Salt Lake City Council Work Session - 2/5/2019,Council,U86DcHvJ0Fw,https://www.youtube.com/watch?v=U86DcHvJ0Fw,videos,false
2019-01-23,Planning Commission Meeting - 01/23/2019,PlanningCommission,ERQ4C4fA408,https://www.youtube.com/watch?v=ERQ4C4fA408,streams,false
2019-01-22,Salt Lake City Council Formal Meeting - 1/22/2019,Council,rJ0Vn_bchZk,https://www.youtube.com/watch?v=rJ0Vn_bchZk,streams,false
2019-01-22,Salt Lake City Council Work Session - 01/22/2019,Council,pK7sNdKpdjY,https://www.youtube.com/watch?v=pK7sNdKpdjY,videos,false
2019-01-15,Salt Lake City Council Work Session - 1/15/2019,Council,V0IvZKA_K-Q,https://www.youtube.com/watch?v=V0IvZKA_K-Q,videos,false
2019-01-15,Redevelopment Agency (RDA) Meeting - 1/15/2019,Council,XUBDeCyM1EY,https://www.youtube.com/watch?v=XUBDeCyM1EY,videos,false
2019-01-09,"Planning Commission Meeting - January 9, 2019",PlanningCommission,eoy0IyteosM,https://www.youtube.com/watch?v=eoy0IyteosM,streams,false
2019-01-08,Salt Lake City Council Formal Meeting - 01/08/2019,Council,MGqxahQ0dYc,https://www.youtube.com/watch?v=MGqxahQ0dYc,streams,false
2019-01-08,Salt Lake City Council Work Session - 01/08/2019,Council,7vVtMyrJ7a0,https://www.youtube.com/watch?v=7vVtMyrJ7a0,streams,false
2019-01-03,"Historic Landmarks Committee Meeting - January 03, 2019",Other,fk5nAlyxWKA,https://www.youtube.com/watch?v=fk5nAlyxWKA,streams,false
2018-12-18,Salt Lake City Council Limited Formal Meeting - 12/18/2018,Council,_CCKdz763Gg,https://www.youtube.com/watch?v=_CCKdz763Gg,streams,false
2018-12-18,Salt Lake City Special Redevelopment Agency (RDA) Meeting - 12/18/2018,Council,bKUKqta7Upw,https://www.youtube.com/watch?v=bKUKqta7Upw,videos,false
2018-12-12,Planning Commission Meeting - 12/12/2018,PlanningCommission,hG376flqubY,https://www.youtube.com/watch?v=hG376flqubY,streams,false
2018-12-11,Salt Lake City Council Formal Meeting - 12/11/2018,Council,Iqck4LMh0kk,https://www.youtube.com/watch?v=Iqck4LMh0kk,streams,false
2018-12-11,Salt Lake City Council Work Session - 12/11/2018,Council,MzxA4VEBp-M,https://www.youtube.com/watch?v=MzxA4VEBp-M,streams,false
2018-12-11,Redevelopment Agency (RDA) Meeting - 12/11/2018,Council,-PW0xNECAFs,https://www.youtube.com/watch?v=-PW0xNECAFs,videos,false
2018-12-06,"Historic Landmarks Commission - December 06, 2018",Other,zItc7AnWnmQ,https://www.youtube.com/watch?v=zItc7AnWnmQ,streams,false
2018-12-04,Salt Lake City Council Formal Meeting - 12/04/2018,Council,r4qhj6M4Smo,https://www.youtube.com/watch?v=r4qhj6M4Smo,streams,false
2018-12-04,Salt Lake City Council Work Session - 12/04/2018,Council,jcrDLiUtfIQ,https://www.youtube.com/watch?v=jcrDLiUtfIQ,streams,false
