motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
622,148,2,3,"Commissioner Wendel – I move that we send a positive recommendation to the City Council for a zoning text amendment to the Taylorsville Municipal Code, Chapter 13.19.010 D, adding Part 7, the SSD-IN (Institutional), File 5Z20",Land-Use/Zoning,Positive recommendation 7-0,Pass,pc_recommendation,Positive,approve,keyword,high,61,case_no,high,16,11,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
623,148,2,4,"Commissioner Burggraaf – I move that we send a positive recommendation of approval to the Taylorsville City Council adopting the proposed SSD-IN-Temple Zoning designation based on the Findings of Fact in the Staff Report for File #3Z20 with an edit to the Findings to state in #4 that parking will be provided with a 405 stall parking structure with 228 stalls at grade and 177 stalls underground. With the recommendation that prior to going to City Council the legal description be updated to provide the accurate description for Parcels 210905001, 2109205002, 2109208011 and with the change to Ordi",Land-Use/Zoning,Positive recommendation 6-1,Pass,pc_recommendation,Positive,approve,keyword,high,62,case_no,high,15,11,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
624,148,2,5,"Commissioner Quigley I would like to move to send a recommendation of approval to the Taylorsville City Council for the proposed zoning change from an R-1-8 to SSD-IN-Temple concerning the property generally located at 2603 W 4700 S as described in Exhibit B and more specifically as previously referred to Tax Parcel 21-09-205-001, 21-09-205-002 and 21-09-208-011, also amending Exhibit B in reference to things that have already been noted, particularly with reference to Section 13.41.040, Item D adding grey and red as exterior color choices and any other changes that were noted in Exhibit D as ",Land-Use/Zoning,Positive recommendation 7-0,Pass,pc_recommendation,Positive,approve,keyword,high,63,singleton,high,11,1,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
625,148,2,6,Commissioner Quigley I would like to make a motion that we Table the recommendation submitted to us tonight for File #7Z19 back to Staff to review the Minutes and comments made during tonight’s discussion to see maybe a better way of addressing this before we make a motion to the City Council,Procedural/Administrative,Positive recommendation 5-2,Pass,pc_recommendation,Positive,table,keyword,high,64,case_no,high,11,9,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
626,148,2,7,"Commissioner Barbieri - I move that we send a positive recommendation to the City Council for a zoning text amendment to the Taylorsville Municipal Code, Sections 13.07.010 D, Residential Development Standards 13.20.060, Planned Unit Development Districts, 13.20.070, Residential Multi-Family Districts, 13.24.080, Parking Space Requirements, 13.30.030, Application and Review Process, 13.30.110, Street Dedication, and Chapter 13.36, File #1Z20, with all the necessary facts and findings",Land-Use/Zoning,Positive recommendation 5-2,Pass,pc_recommendation,Positive,approve,keyword,high,65,case_no,high,1,15,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
627,148,2,8,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,1,,0,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
628,149,2,1,"Commissioner Quigley — 1 move for approval of the Consent Agenda consisting of the Minutes for March 10, 2020, as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,15,0,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
629,149,2,2,Commissioner Burggraaf- | move that we send a recommendation of approval to the Taylorsville City Council amending Sections 13.33.100 and 13.33.110 of the Taylorsville Municipal Code based on the Findings stated in the Staff Report for File #9220,Land-Use/Zoning,Positive recommendation 7-0,Pass,pc_recommendation,Positive,approve,keyword,high,66,singleton,high,15,16,1,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
630,149,2,3,Commissioner Barbieri - | will move for approval of File 9518 based on the Findings and Conditions of Approval in the Staff Report,Land-Use/Zoning,5-0 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,67,name,medium,1,11,1,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
631,149,2,4,Commissioner Wendel - | move for approval of a simple subdivision plat for the property at 4475 South Heatherglen Circle and 4497 South Heatherglen Circle as presented by Staff,Land-Use/Zoning,7-0 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,68,singleton,high,16,9,1,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
