date,year,title,body,slug,path,source,source_url,format
2025-04-08,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-04-08_council_1284879.md,pmn,https://www.utah.gov/pmn/files/1284879.pdf,pdf-text
2025-04-22,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-04-22_council_140.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04222025-140,pdf-text
2025-05-13,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-05-13_council_141.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05132025-141,pdf-text
2025-05-27,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-05-27_council_144.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05272025-144,pdf-text
2025-06-10,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-06-10_council_145.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06102025-145,pdf-text
2025-06-24,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-06-24_council_147.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06242025-147,pdf-text
2025-07-08,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-07-08_council_148.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07082025-148,pdf-text
2025-07-08,2025,Magna CRA Meeting,CRA,cra-regular,minutes/2025/2025-07-08_cra_1302057.md,pmn,https://www.utah.gov/pmn/files/1302057.pdf,pdf-text
2025-07-22,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-07-22_council_150.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07222025-150,pdf-text
2025-07-30,2025,July 30. 2025 Magna City Council Special Meeting,Council,council-special,minutes/2025/2025-07-30_council_151.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07302025-151,pdf-ocr
2025-08-26,2025,Board of Canvassers Meeting,Canvassers,canvassers-canvassers,minutes/2025/2025-08-26_canvassers_169.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08262025-169,pdf-text
2025-08-26,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-08-26_council_170.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08262025-170,pdf-text
2025-09-23,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-09-23_council_1351801.md,pmn,https://www.utah.gov/pmn/files/1351801.pdf,pdf-text
2025-10-14,2025,Community Reinvestment Meeting,CRA,cra-regular,minutes/2025/2025-10-14_cra_178.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10142025-178,pdf-text
2025-10-28,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-10-28_council_1352129.md,pmn,https://www.utah.gov/pmn/files/1352129.pdf,pdf-text
2025-11-18,2025,Board of Convassers Meeting,Council,council-regular,minutes/2025/2025-11-18_council_185.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_11182025-185,pdf-text
2025-11-18,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-11-18_council_186.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_11182025-186,pdf-text
2025-12-09,2025,City Council Meeting,Council,council-regular,minutes/2025/2025-12-09_council_189.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_12092025-189,pdf-text
2025-12-09,2025,CRA Meeting,CRA,cra-regular,minutes/2025/2025-12-09_cra_188.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_12092025-188,pdf-text
2026-01-13,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-01-13_council_191.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01132026-191,pdf-text
2026-01-27,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-01-27_council_194.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01272026-194,pdf-text
2026-01-27,2026,CRA Meeting,CRA,cra-regular,minutes/2026/2026-01-27_cra_195.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01272026-195,pdf-text
2026-02-10,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-02-10_council_196.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_02102026-196,pdf-text
2026-02-24,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-02-24_council_198.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_02242026-198,pdf-text
2026-03-24,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-03-24_council_202.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_03242026-202,pdf-text
2026-04-14,2026,Magna Council Meeting,Council,council-regular,minutes/2026/2026-04-14_council_1424443.md,pmn,https://www.utah.gov/pmn/files/1424443.pdf,pdf-text
2026-04-28,2026,Magna Council Meeting,Council,council-regular,minutes/2026/2026-04-28_council_1431439.md,pmn,https://www.utah.gov/pmn/files/1431439.pdf,pdf-text
2026-04-30,2026,Magna Council Meeting,Council,council-regular,minutes/2026/2026-04-30_council_1431441.md,pmn,https://www.utah.gov/pmn/files/1431441.pdf,pdf-text
2026-05-12,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-05-12_council_207.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05122026-207,pdf-text
2026-05-26,2026,City Council Meeting,Council,council-regular,minutes/2026/2026-05-26_council_209.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05262026-209,pdf-text
