year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,J.D. PARADY,,672,2,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,SHARI COWAN,,652,3,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,LARRY OSTLER,,583,4,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,JOHN BRADLEY,,484,5,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,BART STANLEY MILLER,,449,6,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,KOLYER K. ANDERSEN,,281,7,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,CAROLYN L. FORD,,200,8,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,VANESSA GOATES,,160,9,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,2,ANDREW AAGARD,,69,1,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,2,JOANNA COVINGTON,,48,2,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,2,SHANNON ALLRED,,45,3,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,2,NEPHI LAUB,,26,4,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,2,WENDY ALLRED,,26,5,0,false,raw/clerk/2023-09-05-primary-official.pdf
2024,general,County Assessor,juab_county,Assessor,,1,REP ZACKARY BUCK,REP,5241,1,27,true,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a428-08dce8b6fa4b.json
2024,general,County Commission Seat C,juab_county,Commission,Seat C,1,REP MARVIN GARR KENISON,REP,5433,1,27,true,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a399-08dce8b6fa4b.json
2024,general,County Recorder/Surveyor,juab_county,Recorder/Surveyor,,1,REP DEBRA PRISBREY ZIRBES,REP,5365,1,27,true,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a4bc-08dce8b6fa4b.json
2024,general,County Treasurer,juab_county,Treasurer,,1,REP MELANIE M COWAN,REP,5436,1,27,true,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a557-08dce8b6fa4b.json
2024,general,Juab County School Board District 1,juab_school,School Board,1,1,BRADY BLACKETT,,813,1,8,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a5e4-08dce8b6fa4b.json
2024,general,Juab County School Board District 1,juab_school,School Board,1,1,CASSANDRA BEUTLER,,627,2,8,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a5e4-08dce8b6fa4b.json
2024,general,Juab County School Board District 2,juab_school,School Board,2,1,J. BART MILLS,,1136,1,5,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a6bd-08dce8b6fa4b.json
2024,general,Juab County School Board District 3,juab_school,School Board,3,1,JANET G WARE,,633,1,2,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a715-08dce8b6fa4b.json
2024,general,Tintic School Board District 1,tintic_school,School Board,1,1,JORDAN E GRIMSTEAD,,67,1,1,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a760-08dce8b6fa4b.json
2024,general,Tintic School Board District 2,tintic_school,School Board,2,1,RYAN DENNIS DESPAIN,,86,1,1,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a7a6-08dce8b6fa4b.json
2024,general,Tintic School Board District 3,tintic_school,School Board,3,1,LYNDSAY L GARBETT,,67,1,1,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a7e6-08dce8b6fa4b.json
2024,general,Tintic School Board District 3,tintic_school,School Board,3,1,HEATHER YOUNG,,66,2,1,false,raw/ev/ev-juab-general11052024-item-01000000-a212-ee10-a7e6-08dce8b6fa4b.json
2024,primary,Republican for County Recorder/Surveyor,juab_county,Recorder/Surveyor,,1,DEBRA PRISBREY ZIRBES,REP,1349,1,22,true,raw/ev/ev-juab-primary06252024-item-517c8e1d-e343-4406-8fa9-d8a2aaa41b48.json
2024,primary,Republican for County Recorder/Surveyor,juab_county,Recorder/Surveyor,,1,TROY C. CHRISTENSEN,REP,1089,2,22,true,raw/ev/ev-juab-primary06252024-item-517c8e1d-e343-4406-8fa9-d8a2aaa41b48.json
2025,municipal general,Eureka City Council,eureka,Council,At-Large,2,Tony Steven Atherley,,73,1,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6405-08de10064808.json
2025,municipal general,Eureka City Council,eureka,Council,At-Large,2,Raeleen Anita Maxfield,,65,2,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6405-08de10064808.json
2025,municipal general,Eureka City Council,eureka,Council,At-Large,2,Jonathan G. Street,,28,3,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6405-08de10064808.json
2025,municipal general,Eureka City Council,eureka,Council,At-Large,2,Invalid,,24,4,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6405-08de10064808.json
2025,municipal general,Eureka City Council,eureka,Council,At-Large,2,Write-in,,0,5,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6405-08de10064808.json
2025,municipal general,Eureka City Mayor,eureka,Mayor,,1,ROBERT W JENKINS,,112,1,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6385-08de10064808.json
2025,municipal general,Eureka City Mayor,eureka,Mayor,,1,SCOTT C. PUGH,,106,2,4,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-6385-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,JERRY HODGES SPENCER,,185,1,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,RAY MCMILLAN EVANS,,172,2,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,NICHOLAS EROL MANGELSON,,163,3,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,Mitchell L Worwood,,46,4,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,Invalid,,7,5,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Council,levan,Council,At-Large,2,Write-in,,0,6,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5459-08de10064808.json
2025,municipal general,Levan Town Mayor,levan,Mayor,,1,TYLER R SHEPHERD,,195,1,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-fb40-08de10064807.json
2025,municipal general,Levan Town Mayor,levan,Mayor,,1,BRUCE CHARLES ROWLEY,,127,2,1,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-fb40-08de10064807.json
2025,municipal general,Mona City Council,mona,Council,At-Large,2,DEVAN JACK INGRAM,,327,1,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5617-08de10064808.json
2025,municipal general,Mona City Council,mona,Council,At-Large,2,TONY OPENSHAW,,281,2,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5617-08de10064808.json
2025,municipal general,Mona City Council,mona,Council,At-Large,2,JENNIFER DONALDSON,,273,3,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5617-08de10064808.json
2025,municipal general,Mona City Council,mona,Council,At-Large,2,TROY GORDON LINTON,,220,4,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-5617-08de10064808.json
2025,municipal general,Mona City Mayor,mona,Mayor,,1,TROY PAINTER,,414,1,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-55ab-08de10064808.json
2025,municipal general,Mona City Mayor,mona,Mayor,,1,RANDY CHRISTENSEN,,165,2,2,false,raw/ev/ev-juab-general11042025-item-01000000-e857-63d6-55ab-08de10064808.json
