application_id,app_key,body_id,name,rep_title
114,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|3,2,,Commissioner Newman moved to forward a recommendation for denial to the Municipal Council for the zone change as outlined in PC 20-023 with the findings listed below. Commissioner Dickinson seconded the motion.
115,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|4,2,,"Commissioner Newman moved to continue the Design Review for PC 20-023 to the August 27, 2020 meeting after the City Council has made a decision regarding the zone change. Commissioner Croshaw seconded the motion."
116,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|5,2,,Commissioner Newman moved to conditionally approve a Conditional Use Permit as outlined in PC 20-027 with the findings listed below. Commissioner Lucero seconded the motion.
117,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|6,2,,Commissioner Newman moved to conditionally approve a Conditional Use Permit as outlined in PC 20-027 with the findings as listed below. Commissioner Dickinson seconded the motion.
118,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|7,2,,Commissioner Ortiz moved to conditionally approve a Conditional Use Permit as outlined in PC 20-027 with the amended findings listed below (removal of “No two adjacent buildings may possess the same front/street-facing elevation as per façade variation standards in the Land Development Code (LDC) 17.12.020.C”). Commissioner Croshaw seconded the motion.
119,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|11,2,,Commissioner Dickinson moved to forward a recommendation to the Municipal Council to approve the the zone change of the railroad remnant to Public (PUB) as proposed. Commissioner Ortiz seconded the motion.
120,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|13,2,,Commissioner Dickinson moved to forward a recommendation to the Municipal Council to approve the zone change in Area 7 to Commercial Services (CS) as proposed. Commissioner Ortiz seconded the motion.
121,PlanningCommission|s|planning_commission/minutes/2020/2020-07-06/2020-07-09_planning-commission-meeting.md|3,2,,Commissioner Ortiz moved to recommend approval to the Municipal Council for an amendment to the Land Development Code as outlined in PC 20-033 with the findings for approval as listed below. Commissioner Croshaw seconded the motion.
122,PlanningCommission|s|planning_commission/minutes/2020/2020-07-06/2020-07-09_planning-commission-meeting.md|4,2,,Commissioner Goodlander moved to recommend approval to the Municipal Council for an amendment to the Land Development Code as outlined in PC 20-034 with the findings for approval as listed below. Commissioner Ortiz seconded the motion.
123,PlanningCommission|s|planning_commission/minutes/2020/2020-07-06/2020-07-09_planning-commission-meeting.md|5,2,,Commissioner Croshaw moved to recommend approval to the Municipal Council for an amendment to the Land Development Code as outlined in PC 20-036 with the findings for approval as listed below. Commissioner Dickinson seconded the motion.
124,PlanningCommission|s|planning_commission/minutes/2020/2020-07-06/2020-07-09_planning-commission-meeting.md|6,2,,Commissioner Ortiz moved to recommend approval to the Municipal Council for an amendment to the Land Development Code as outlined in PC 20-037 with the findings for approval as listed below. Commissioner Croshaw seconded the motion.
125,PlanningCommission|s|planning_commission/minutes/2020/2020-07-20/2020-07-23_planning-commission-meeting.md|1,2,,Commissioner Newman moved to conditionally approve a Design Review & Subdivision Permit as outlined in PC 20-035 with the conditions for approval as listed below. Commissioner Croshaw seconded the motion.
126,PlanningCommission|s|planning_commission/minutes/2020/2020-07-20/2020-07-23_planning-commission-meeting.md|2,2,,Commissioner Dickinson moved to conditionally approve a Conditional Use and Design Review Permit as outlined in PC 20-038 with the conditions for approval as listed below. Commissioner Goodlander seconded the motion.
127,PlanningCommission|s|planning_commission/minutes/2020/2020-08-10/2020-08-13_planning-commission-meeting.md|3,2,,"Commissioner Dickinson moved to deny a 23-lot subdivision as proposed and outlined in PC 20-011 because the northeast stub is not feasible for connectivity and neither is the southern connection due to financial constraints and right-of-way issues, which does not allow a third point of connectivity that would allow 23 lots. Commissioner Croshaw seconded the motion."
128,PlanningCommission|s|planning_commission/minutes/2020/2020-08-10/2020-08-13_planning-commission-meeting.md|4,2,,Commissioner Lucero moved to conditionally approve a Design Review Permit as outlined in PC 20-039 with the conditions for approval as listed below. Commissioner Dickinson seconded the motion.
129,PlanningCommission|s|planning_commission/minutes/2020/2020-08-10/2020-08-13_planning-commission-meeting.md|5,2,,Commissioner Lucero moved to conditionally approve a Conditional Use Permit as outlined in PC 20-042 with the conditions for approval as listed below. Commissioner Croshaw seconded the motion.
130,PlanningCommission|s|planning_commission/minutes/2020/2020-08-24/2020-08-27_planning-commission-meeting.md|2,2,,Commissioner Lucero moved to conditionally approve a Conditional Use Permit as outlined in PC 20-041 with the conditions for approval as listed below. Commissioner Ortiz seconded the motion.
131,PlanningCommission|s|planning_commission/minutes/2020/2020-08-24/2020-08-27_planning-commission-meeting.md|3,2,,Commissioner Ortiz moved to conditionally approve a Conditional Use Permit as outlined in PC 20-043 with the conditions for approval as listed below. Commissioner Newman seconded the motion.
132,PlanningCommission|s|planning_commission/minutes/2020/2020-09-07/2020-09-10_planning-commission-meeting.md|2,2,,Commissioner Goodlander moved to conditionally approve a Subdivision Permit as outlined in PC 20-044 with the conditions for approval as listed below. Commissioner Ortiz seconded the motion.
133,PlanningCommission|s|planning_commission/minutes/2020/2020-09-07/2020-09-10_planning-commission-meeting.md|3,2,,Commissioner Croshaw moved to conditionally approve a Design Review Permit as outlined in PC 20-045 with the conditions for approval as listed below. Commissioner Goodlander offered a friendly amendment to include a condition that employee traffic using the rear parking lot shall enter and exit onto 100 East unless otherwise legally established within the shared right-of- way. Commissioner Lucero seconded the motion and the amendment.
134,PlanningCommission|s|planning_commission/minutes/2020/2020-09-07/2020-09-10_planning-commission-meeting.md|4,2,,Commissioner Goodlander moved to conditionally approve a Design Review Permit as outlined in PC 20-046 with the conditions for approval as listed below. Commissioner Lucero seconded the motion.
135,PlanningCommission|s|planning_commission/minutes/2020/2020-09-07/2020-09-10_planning-commission-meeting.md|5,2,,Commissioner Dickinson moved to forward a recommendation of approval to the City Council for a zone change as outline in PC 20-041 with the findings for approval as listed below. Commissioner Lucero seconded the motion.
136,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-24_planning-commission-meeting.md|1,2,,Commissioner Dickinson moved to conditionally approve a Conditional Use Permit as outlined in PC 20-047 with the conditions for approval as listed below. Commissioner Goodlander seconded the motion.
137,PlanningCommission|s|planning_commission/minutes/2020/2020-10-05/2020-10-08_planning-commission-meeting.md|1,2,,Commissioner Lucero moved to forward a recommendation for denial to the City Council for an amendment to the Land Development Code as outlined in PC 20-048 with the
138,PlanningCommission|s|planning_commission/minutes/2020/2020-10-05/2020-10-08_planning-commission-meeting.md|2,2,,Commissioner Goodlander moved to conditionally approve a Subdivision Permit as outlined in PC 20-049 with the conditions for approval as listed below. Commissioner Croshaw seconded the motion.
139,PlanningCommission|s|planning_commission/minutes/2020/2020-10-05/2020-10-08_planning-commission-meeting.md|3,2,,Commissioner Goodlander moved to forward a recommendation for approval to the City Council for the Zone Change as outlined in PC 20-050 with the findings for approval as listed below. Commissioner Lucero seconded the motion.
140,PlanningCommission|s|planning_commission/minutes/2020/2020-10-05/2020-10-08_planning-commission-meeting.md|4,2,,Commissioner Croshaw moved to conditionally approve a Design Review & Subdivision Permit as outlined in PC 20-050 with the amended conditions for approval as listed below. Commissioner Goodlander seconded the motion.
141,PlanningCommission|s|planning_commission/minutes/2020/2020-10-19/2020-10-22_planning-commission-meeting.md|2,2,,Commissioner Goodlander moved to conditionally approve a Design Review Permit as outlined in PC 20-051 with the amended conditions for approval as listed below. Commissioner Ortiz seconded the motion.
142,PlanningCommission|s|planning_commission/minutes/2020/2020-10-19/2020-10-22_planning-commission-meeting.md|4,2,,Commissioner Lucero moved to conditionally approve a Conditional Use Permit as outlined in PC 20-053 with the amended conditions for approval as listed below. Commissioner Croshaw seconded the motion.
143,PlanningCommission|s|planning_commission/minutes/2020/2020-11-09/2020-11-12_planning-commission-meeting.md|1,2,,Commissioner Newman moved to conditionally approve a Design Review Permit as outlined in PC 20-054 with the conditions for approval as listed below. Commissioner Croshaw seconded the motion.
