source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2022/2022-10-10/2022-10-13_planning-commission-meeting.md,2,2022-10-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,1,2022-10-27,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,2,2022-10-27,PlanningCommission,Procedural/Administrative,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,6:0 Pass,rule:lu-rezone,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,3,2022-10-27,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,4,2022-10-27,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,5,2022-10-27,PlanningCommission,Land-Use/Zoning,Land-Use,Annexation,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-annex,high
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,6,2022-10-27,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low
planning_commission/minutes/2022/2022-10-24/2022-10-27_planning-commission-meeting.md,7,2022-10-27,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2022/2022-11-14/2022-11-17_planning-commission-meeting.md,1,2022-11-17,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high
planning_commission/minutes/2022/2022-11-14/2022-11-17_planning-commission-meeting.md,2,2022-11-17,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,1,2022-12-15,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,1,,roll-call,6:1 Pass,crosswalk,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,2,2022-12-15,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,3,2022-12-15,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,4,2022-12-15,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,5,2022-12-15,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,6,2022-12-15,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2022/2022-12-12/2022-12-15_planning-commission-meeting.md,7,2022-12-15,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,1,2023-01-12,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
