source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2023-10-25_pc-roa.md,5,2023-10-25,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,1,2023-11-08,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,2,2023-11-08,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,3,2023-11-08,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,4,2023-11-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,5,2023-11-08,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,fail,3,3,,roll-call,3:3 Denied (Final Action),crosswalk,high
pmn_backfill/roa/2023-11-08_pc-roa.md,6,2023-11-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,fail,3,3,,roll-call,Negative recommendation 3:3,crosswalk,high
pmn_backfill/roa/2023-12-06_pc-roa.md,1,2023-12-06,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2024-01-17_pc-roa.md,1,2024-01-17,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-01-17_pc-roa.md,2,2024-01-17,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-01-17_pc-roa.md,3,2024-01-17,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,9,0,,roll-call,Positive recommendation 9:0,crosswalk,high
pmn_backfill/roa/2024-01-17_pc-roa.md,4,2024-01-17,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,9,0,,roll-call,Positive recommendation 9:0,crosswalk,high
pmn_backfill/roa/2024-01-31_pc-roa.md,1,2024-01-31,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,8,0,,roll-call,8:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-01-31_pc-roa.md,2,2024-01-31,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
