stem,bytes,chars,status
810371_MEMORANDUM_OF_UNDERSTANDING_AL_TOA_2.3.22,90399,6167,extracted
810365_2022-1-21_Determination_Letter_Location_draft,165719,2059,extracted
810373_Alta_Ski_Area_Alta_Lodge_MOU_signed,3698854,0,image_only
810375_License_Agreement_12_11_2003_Parking,229389,0,image_only
816559_2022-3-1_Budget_Committee_Agenda,197664,3037,extracted
816557_2022-2-17_Determination_Letter_Location,164876,2082,extracted
819675_FY2022_1_page_summary,701687,5904,extracted
819677_FY2022.2,695373,86763,extracted
819679_FY2023,697958,69721,extracted
820451_2022-3-9_Town_Council_Agenda,266188,4198,extracted
820465_2022-3-9_Consent_Agenda,1667799,92724,extracted
820449_2022-2-17_Determination_Letter_Location,163866,2082,extracted
820453_2022-02-24_ACE_Flag_Agreement,176972,5940,extracted
820455_2022-R-4_Town_flag_Resolution,97673,1093,extracted
820457_2022-O-2_Ordinance_Amending_Dog_Ord,713534,12776,extracted
820459_2022-R-5_Dog_Resolution,82270,3577,extracted
820461_2022-R-6_Repeal_Replace_Fee_Schedule_Exhibit_A,363182,20559,extracted
820463_2022-R-7_Termination_of_HRA,116882,1723,extracted
823705_2022-O-2_Ordinance_Amending_Dog_Ord,192494,11995,extracted
823707_2022-R-4_Town_flag_Resolution,144229,1109,extracted
823709_2022-R-5_Dog_Resolution,97956,3580,extracted
823711_2022-R-6_Repeal_Replace_Fee_Schedule,385680,20531,extracted
823713_2022-R-7_Termination_of_HRA,128358,1683,extracted
825543_2022-3-18_Budget_Committee_Agenda,207812,2990,extracted
825541_2022-3-15_Determination_Letter_Location,165247,2075,extracted
825545_FY2022_1_page_summary,106832,3940,extracted
825547_FY2022.1,157909,86305,extracted
825549_FY2023,163995,70286,extracted
833399_2022-4-13_Town_Council_Agenda,308783,5186,extracted
833407_4-13-22_Consent_Agenda,1853905,98640,extracted
833409_2022-4-CREP-Slides-Alta,553297,12041,extracted
833397_2022-3-15_Determination_Letter_Location,164163,2075,extracted
833405_FY2022.3,161497,85966,extracted
833411_Town_Council_Meeting_Schedule_2022-2023_draft,199969,2173,extracted
833413_2022-O-3_Ordinance_repealing_appointment_of_town_officials,63724,2082,extracted
833415_2022-O-4_Fire_Restrictions_Amendment,165317,3635,extracted
833417_2022-R-8_Alta_Fireworks_Resolution_w_exhibits,978711,64688,extracted
833613_FY2023,167549,72269,extracted
834185_22-4-8_Town_of_Alta_-_Water_Fund_Budget_tool,843831,49775,extracted
835935_2022-R-8_Alta_Fireworks_Resolution_w_exhibits,995062,64690,extracted
835937_2022-O-4_Fire_Restrictions_Amendment,181151,3623,extracted
837681_22-4-26-APC-Agenda.FINAL,187240,1521,extracted
837683_staff_review_for_april_26_2022_planning_commisison_mtg,56597,4906,extracted
845193_2022-5-11_Town_Council_Agenda,303298,4430,extracted
845195_Consent_Agenda,1503406,98164,extracted
845191_2022-5-3_Determination_Letter_Location,165642,2032,extracted
845197_22-5-3_FY2023_Tentative_Budget_Worksheet,149791,67261,extracted
845199_2022-5-CapitalProjectsReport.w.plans,1150943,36509,extracted
845201_2022-R-9_Resolution_w_misc_appointments,94382,1256,extracted
845203_Fraud_Risk_Questionnaire,383571,12542,extracted
845205_PUBLIC_NOTICE_-_Budget_Hearings_June_2023,67500,1047,extracted
856541_2022-R-9_Resolution_w_misc_appointments,78224,1254,extracted
854787_2022-6-6_Budget_Committee_Agenda,198167,3025,extracted
854785_2022-6-1_Determination_Letter_Location_SIGNED,163969,2058,extracted
855923_22-6-3_FY_22_Amendment_highlights,173619,84947,extracted
855925_FY22_Proposed_Year-End_Amendment_Notes,175091,2238,extracted
855927_22-6-3_Proposed_FY23_Budget,116984,46484,extracted
855929_2022-R-X_Year-End_Budgets_Draft,34367,1546,extracted
855931_2022-R-X_Resolution_Amended_water_rates,100075,7390,extracted
855933_2022-R-X_amending_sewer_use_rates,107189,3091,extracted
855935_2022-6-3_Approved_Capital_Projects_Plan,159601,17998,extracted
858233_2022-6-15_Town_Council_Agenda,328468,6642,extracted
858247_2022-6-15_Town_Council_Agenda,328468,6642,extracted
858259_2022-6-15_Town_Council_Agenda,328468,6642,extracted
858319_2022-6-15_Town_Council_Agenda,328468,6642,extracted
858339_2022-6-15_Consent_Agenda,2010722,176861,extracted
858337_Proposed-2023-CapitalProjectsPlan-w-staffreport,260691,12028,extracted
858341_2022-5-RACS-CUP-Staff_Report_to_Planning_Commission,88722,4474,extracted
858351_shot_3_Decision_Memo_Baldy_RAC_Sites_Signed_by_USFS,312929,12118,extracted
858353_Staff_Report_to_Appeal_Authority_June_2022,134067,7047,extracted
858229_2022-6-1_Determination_Letter_Location_SIGNED,163969,2058,extracted
858231_PUBLIC_NOTICE_-_Budget_Hearings_June_2023_-_Amended,111004,1309,extracted
858235_2022-R-11_Year-End_Budgets_FY22_w_Exhibit_A,202188,90292,extracted
858245_2022-6-1_Determination_Letter_Location_SIGNED,163969,2058,extracted
858249_PUBLIC_NOTICE_-_Budget_Hearings_June_2023_-_Amended,111004,1309,extracted
858251_2022-R-12_Proposed_Budget_FY23_w_Exhibit_A,254254,49597,extracted
858257_2022-6-1_Determination_Letter_Location_SIGNED,163969,2058,extracted
858261_PUBLIC_NOTICE_-_Budget_Hearings_June_2023_-_Amended,111004,1309,extracted
858263_2022-R-13_Resolution_ASSD_budget_and_CTR,13695,862,extracted
858317_2022-6-1_Determination_Letter_Location_SIGNED,163969,2058,extracted
858321_2022-R-11_Year-End_Budgets_FY22_w_Exhibit_A,202188,90292,extracted
